nombre,precio_actual,precio_anterior,descuento_porcentaje,ubicacion_vendedor,cuotas,envio_gratis,enlace,categoria,fecha_extraccion
"MacBook Air A1466 Plata 13.3"" Intel Core i5 5350U 8GB de RAM 128GB SSD HD Graphics 6000 1440x900px macOS - Excelente (Reacondicionado)",3241.0,,0,Envío desde USA,15,1,https://www.mercadolibre.com.mx/macbook-air-a1466-plata-133-intel-core-i5-5350u-8gb-de-ram-128gb-ssd-hd-graphics-6000-1440x900px-macos-excelente-reacondicionado/p/MLM2010682657,Laptops,2026-02-20 15:00:41
Asus Vivobook Core I5 1235u 512 GB SSD 12 GB Ram Screen Fhd 1920 px x 1080 px Intel Iris Xe Graphics Laptop F1504za Incluye Windows Instalado with Gift,9985.0,13846.0,28,,15,0,https://www.mercadolibre.com.mx/asus-vivobook-core-i5-1235u-512-gb-ssd-12-gb-ram-screen-fhd-1920-px-x-1080-px-intel-iris-xe-graphics-laptop-f1504za-incluye-windows-instalado-with-gift/p/MLM62390257,Laptops,2026-02-20 15:00:41
"Laptop HP 250 G10 Intel Core i3 N305 8GB 256GB SSD 15.6"" W11 Teclado Español Mouse DXT Ideal para Estudiante y Oficina",7999.0,,0,,24,1,https://www.mercadolibre.com.mx/laptop-hp-250-g10-intel-core-i3-n305-8gb-256gb-ssd-156-w11-teclado-espanol-mouse-dxt-ideal-para-estudiante-y-oficina/p/MLM49193448,Laptops,2026-02-20 15:00:41
Laptop Gamer Msi Thin Nvidia Geforce Rtx 2050 Intel Core I5 32gb Ram 1.5tb Ssd 15.6 Windows 11 Home Mouse Dxt Gaming,17999.0,22999.0,22,,24,1,https://www.mercadolibre.com.mx/laptop-gamer-msi-thin-nvidia-geforce-rtx-2050-intel-core-i5-32gb-ram-15tb-ssd-156-windows-11-home-mouse-dxt-gaming/p/MLM27790468,Laptops,2026-02-20 15:00:41
Portátil Dell Latitude 7450 Ultra 7 de 32 GB de RAM y 1 TB SSD,36222.0,38129.0,5,,12,1,https://www.mercadolibre.com.mx/portatil-dell-latitude-7450-ultra-7-de-32-gb-de-ram-y-1-tb-ssd/p/MLM52136587,Laptops,2026-02-20 15:00:41
Laptop Games 16'' Amd Ryzen 7 5825u 16gb Ram 512gb Ssd Fhd Color Gris,10888.0,17899.0,39,,15,0,https://www.mercadolibre.com.mx/laptop-games-16-amd-ryzen-7-5825u-16gb-ram-512gb-ssd-fhd-color-gris/p/MLM58724371,Laptops,2026-02-20 15:00:41
"Lenovo ThinkPad X1 Carbon Gen 9 con i7-1185G7 Iris Xe, 16GB RAM, 1TB SSD y pantalla 14 4K UHD IPS, Windows 11 Pro - Excelente (Reacondicionado)",8240.0,29143.0,72,Envío desde USA,15,1,https://www.mercadolibre.com.mx/lenovo-thinkpad-x1-carbon-gen-9-con-i7-1185g7-iris-xe-16gb-ram-1tb-ssd-y-pantalla-14-4k-uhd-ips-windows-11-pro-excelente-reacondicionado/p/MLM2010709347,Laptops,2026-02-20 15:00:41
Notebook Acer Aspire A325-42 Ryzen 7 7730u 16gb Ram 512gb Ssd Pantalla 15.6 Full Hd Windows 11 Home Color Plateado,11999.0,14999.0,20,,15,0,https://www.mercadolibre.com.mx/notebook-acer-aspire-a325-42-ryzen-7-7730u-16gb-ram-512gb-ssd-pantalla-156-full-hd-windows-11-home-color-plateado/p/MLM48471309,Laptops,2026-02-20 15:00:41
Apple Macbook Air 13 6 pulgadas chip M4 16gb ram 256gb ssd color celeste,18525.0,,0,Envío desde USA,15,1,https://www.mercadolibre.com.mx/apple-macbook-air-13-6-pulgadas-chip-m4-16gb-ram-256gb-ssd-color-celeste/p/MLM53450246,Laptops,2026-02-20 15:00:41
"Laptop Gamer LENOVO LOQ NVIDIA GeForce RTX 3050 AMD Ryzen 5 7235HS 16GB DDR5 512GB SSD 15.6"" Full HD 144Hz W11 Teclado Español Mouse DXT",19899.0,24999.0,20,,15,1,https://www.mercadolibre.com.mx/laptop-gamer-lenovo-loq-nvidia-geforce-rtx-3050-amd-ryzen-5-7235hs-16gb-ddr5-512gb-ssd-156-full-hd-144hz-w11-teclado-espanol-mouse-dxt/p/MLM47192777,Laptops,2026-02-20 15:00:41
"Laptop Hp 250 G10 15.6 Fhd, Intel Core I5-1334u 13va Gen, 16gb Ram, 1tb Ssd, Windows 11 Home, Color Plata Teclado Retroiluminado Español",13969.0,,0,,24,1,https://www.mercadolibre.com.mx/laptop-hp-250-g10-156-fhd-intel-core-i5-1334u-13va-gen-16gb-ram-1tb-ssd-windows-11-home-color-plata-teclado-retroiluminado-espanol/p/MLM61706587,Laptops,2026-02-20 15:00:41
"Notebook Dell Inspiron 3530 Intel Core I5 1334u, 16gb De Ram Ddr4, 512gb Ssd M.2 Pcie Nvme, Gráficos Intel Iris Xe, Full Hd 1920 X 1080 Px (15.6) Touchscreen 120hz, Windows 11 Home, Color Carbon Black",11999.0,12999.0,8,,15,0,https://www.mercadolibre.com.mx/notebook-dell-inspiron-3530-intel-core-i5-1334u-16gb-de-ram-ddr4-512gb-ssd-m2-pcie-nvme-graficos-intel-iris-xe-full-hd-1920-x-1080-px-156-touchscreen-120hz-windows-11-home-color-carbon-black/p/MLM52138128,Laptops,2026-02-20 15:00:41
"Notebook Coolby 15.6"" Intel N95 12GB RAM 1TB SSD Full HD Windows 11 Pro",6099.0,10442.0,42,,15,0,https://www.mercadolibre.com.mx/notebook-coolby-156-intel-n95-12gb-ram-1tb-ssd-full-hd-windows-11-pro/p/MLM44443027,Laptops,2026-02-20 15:00:41
