nombre,precio_actual,precio_anterior,descuento_porcentaje,ubicacion_vendedor,cuotas,envio_gratis,enlace,categoria,fecha_extraccion
Smart Tv Hisense Full Hd 40 Pulgadas Con Roku H4 Series 40H4030F1,3599.0,4799.0,25,,24,1,https://www.mercadolibre.com.mx/smart-tv-hisense-full-hd-40-pulgadas-con-roku-h4-series-40h4030f1/p/MLM23279298,Televisores,2026-02-20 15:00:52
Tv Pantalla Tcl Qled 40 40q35f Fire Tv Integrado,3599.0,,0,,24,0,https://www.mercadolibre.com.mx/tv-pantalla-tcl-qled-40-40q35f-fire-tv-integrado/p/MLM64203196,Televisores,2026-02-20 15:00:52
Hisense Smart TV Pantalla 40 Pulgadas LED 40A4NV Vidaa,3790.0,5899.0,36,,6,0,https://www.mercadolibre.com.mx/hisense-smart-tv-pantalla-40-pulgadas-led-40a4nv-vidaa/p/MLM49936437,Televisores,2026-02-20 15:00:52
Hisense Smart TV Pantalla 65 Pulgadas LED 65A65NFM Fire TV,8543.0,12499.0,32,,12,0,https://www.mercadolibre.com.mx/hisense-smart-tv-pantalla-65-pulgadas-led-65a65nfm-fire-tv/p/MLM60385784,Televisores,2026-02-20 15:00:52
"Pantalla Smart Tv Hikers 24 "" LED HD Con Dolby/aac Color Negro",1653.0,2016.0,18,,24,0,https://www.mercadolibre.com.mx/pantalla-smart-tv-hikers-24-led-hd-con-dolbyaac-color-negro/p/MLM44240328,Televisores,2026-02-20 15:00:52
Smart Tv Pantalla 65 Pulgadas Motorola Google Tv Qled 4k Televisor Bluetooth WiFi HDMI USB AV,8686.0,15999.0,46,,15,0,https://www.mercadolibre.com.mx/smart-tv-pantalla-65-pulgadas-motorola-google-tv-qled-4k-televisor-bluetooth-wifi-hdmi-usb-av/p/MLM29354757,Televisores,2026-02-20 15:00:52
Smart Tv Motorola Pantalla 50 Pulgadas Google Tv Qled 4k,5799.0,8999.0,36,,15,0,https://www.mercadolibre.com.mx/smart-tv-motorola-pantalla-50-pulgadas-google-tv-qled-4k/p/MLM62544082,Televisores,2026-02-20 15:00:52
Pantalla Smart Tv Aiwa Roku 43'' Led Full HD (1080p),3799.0,4899.0,22,,15,0,https://www.mercadolibre.com.mx/pantalla-smart-tv-aiwa-roku-43-led-full-hd-1080p/p/MLM46481750,Televisores,2026-02-20 15:00:52
Pantalla Gpx 40 Pulgadas Fhd (1080p) Led Tv/dvd Combo,3779.0,4599.0,18,,15,1,https://www.mercadolibre.com.mx/pantalla-gpx-40-pulgadas-fhd-1080p-led-tvdvd-combo/p/MLM47982601,Televisores,2026-02-20 15:00:52
Pantalla Hisense 43 Pulgadas Led Fhd Smart Google Tv,3899.0,,0,,15,1,https://www.mercadolibre.com.mx/pantalla-hisense-43-pulgadas-led-fhd-smart-google-tv/p/MLM2064466643,Televisores,2026-02-20 15:00:52
"Smart Tv de 55"" TCL Series 4 55S451 con pantalla LED 4K",6399.0,,0,,3,0,https://www.mercadolibre.com.mx/smart-tv-de-55-tcl-series-4-55s451-con-pantalla-led-4k/p/MLM21453692,Televisores,2026-02-20 15:00:52
Pantalla Samsung 43 Pulgadas Crystal Uhd Series 4k Smart Tv,5799.0,6400.0,9,,15,0,https://www.mercadolibre.com.mx/pantalla-samsung-43-pulgadas-crystal-uhd-series-4k-smart-tv/p/MLM59250451,Televisores,2026-02-20 15:00:52
"Smart Tv Pantalla Acer 32 Pulgadas Dled hd Android Tv Con Ok Google, Dolby Audio, Televisión, Bluetooth, Hdmi, Wi-fi, 2 Controles Incluidos",2499.0,8398.0,70,,15,0,https://www.mercadolibre.com.mx/smart-tv-pantalla-acer-32-pulgadas-dled-hd-android-tv-con-ok-google-dolby-audio-television-bluetooth-hdmi-wi-fi-2-controles-incluidos/p/MLM62128148,Televisores,2026-02-20 15:00:52
